.Box: 24.9781454025390417,24.9781454025390417,24.9781454025390417
6.793073 11.390073 3.113073 @ 0.500000 C[0,0,1,1]
9.990073 11.760073 4.125073 @ 0.500000 C[0,0,1,1]
12.018073 12.253073 3.668073 @ 0.500000 C[0,0,1,1]
0.718073 1.103073 4.539073 @ 0.500000 C[0,0,1,1]
1.939073 0.867073 3.966073 @ 0.500000 C[0,0,1,1]
2.759073 1.231073 3.615073 @ 0.500000 C[0,0,1,1]
0.612073 2.238073 3.967073 @ 0.500000 C[0,0,1,1]
3.418073 2.844073 3.320073 @ 0.500000 C[0,0,1,1]
0.886073 3.136073 4.110073 @ 0.500000 C[0,0,1,1]
5.658073 3.401073 4.937073 @ 0.500000 C[0,0,1,1]
7.209073 3.777073 4.915073 @ 0.500000 C[0,0,1,1]
3.828073 0.075073 10.178073 @ 0.500000 C[0,0,1,1]
1.716073 4.169073 4.161073 @ 0.500000 C[0,0,1,1]
2.465073 4.334073 4.756073 @ 0.500000 C[0,0,1,1]
4.482073 4.177073 3.876073 @ 0.500000 C[0,0,1,1]
8.652073 4.139073 3.863073 @ 0.500000 C[0,0,1,1]
11.777073 4.774073 4.542073 @ 0.500000 C[0,0,1,1]
0.996073 4.699073 4.316073 @ 0.500000 C[0,0,1,1]
2.281073 5.252073 4.977073 @ 0.500000 C[0,0,1,1]
7.601073 4.647073 3.528073 @ 0.500000 C[0,0,1,1]
10.984073 5.311073 4.219073 @ 0.500000 C[0,0,1,1]
0.685073 5.634073 4.789073 @ 0.500000 C[0,0,1,1]
4.995073 5.997073 4.575073 @ 0.500000 C[0,0,1,1]
7.607073 6.045073 4.131073 @ 0.500000 C[0,0,1,1]
8.670073 6.204073 4.153073 @ 0.500000 C[0,0,1,1]
12.264073 6.536073 4.790073 @ 0.500000 C[0,0,1,1]
2.026073 6.940073 4.302073 @ 0.500000 C[0,0,1,1]
3.999073 6.549073 4.460073 @ 0.500000 C[0,0,1,1]
5.857073 7.034073 3.676073 @ 0.500000 C[0,0,1,1]
9.146073 6.601073 4.854073 @ 0.500000 C[0,0,1,1]
9.959073 6.478073 3.938073 @ 0.500000 C[0,0,1,1]
12.265073 7.363073 3.715073 @ 0.500000 C[0,0,1,1]
0.200073 1.250073 7.199073 @ 0.500000 C[0,0,1,1]
6.112073 7.175073 4.600073 @ 0.500000 C[0,0,1,1]
7.135073 7.490073 4.539073 @ 0.500000 C[0,0,1,1]
7.999073 7.242073 4.148073 @ 0.500000 C[0,0,1,1]
1.194073 7.743073 4.442073 @ 0.500000 C[0,0,1,1]
2.887073 8.326073 4.054073 @ 0.500000 C[0,0,1,1]
3.877073 8.276073 3.824073 @ 0.500000 C[0,0,1,1]
4.738073 7.246073 3.578073 @ 0.500000 C[0,0,1,1]
5.461073 7.897073 4.205073 @ 0.500000 C[0,0,1,1]
7.107073 8.258073 3.635073 @ 0.500000 C[0,0,1,1]
8.815073 7.800073 5.317073 @ 0.500000 C[0,0,1,1]
9.506073 8.077073 4.473073 @ 0.500000 C[0,0,1,1]
10.557073 7.772073 4.222073 @ 0.500000 C[0,0,1,1]
0.213073 8.974073 4.022073 @ 0.500000 C[0,0,1,1]
2.242073 8.797073 3.535073 @ 0.500000 C[0,0,1,1]
4.738073 8.807073 3.649073 @ 0.500000 C[0,0,1,1]
5.464073 8.846073 4.279073 @ 0.500000 C[0,0,1,1]
7.106073 9.169073 4.538073 @ 0.500000 C[0,0,1,1]
10.779073 9.084073 3.816073 @ 0.500000 C[0,0,1,1]
11.639073 9.102073 4.236073 @ 0.500000 C[0,0,1,1]
1.444073 9.675073 3.921073 @ 0.500000 C[0,0,1,1]
3.525073 9.390073 4.738073 @ 0.500000 C[0,0,1,1]
4.998073 9.622073 4.908073 @ 0.500000 C[0,0,1,1]
8.518073 8.770073 4.611073 @ 0.500000 C[0,0,1,1]
11.979073 9.787073 3.667073 @ 0.500000 C[0,0,1,1]
1.628073 10.773073 4.412073 @ 0.500000 C[0,0,1,1]
2.986073 9.933073 4.112073 @ 0.500000 C[0,0,1,1]
5.026073 11.167073 4.558073 @ 0.500000 C[0,0,1,1]
8.115073 10.167073 4.861073 @ 0.500000 C[0,0,1,1]
10.962073 10.114073 4.084073 @ 0.500000 C[0,0,1,1]
11.626073 10.585073 4.549073 @ 0.500000 C[0,0,1,1]
1.022073 11.306073 3.880073 @ 0.500000 C[0,0,1,1]
4.317073 11.247073 3.951073 @ 0.500000 C[0,0,1,1]
7.440073 10.644073 4.131073 @ 0.500000 C[0,0,1,1]
9.023073 11.466073 4.353073 @ 0.500000 C[0,0,1,1]
9.814073 10.986073 4.734073 @ 0.500000 C[0,0,1,1]
10.620073 10.541073 4.936073 @ 0.500000 C[0,0,1,1]
2.594073 10.911073 4.267073 @ 0.500000 C[0,0,1,1]
7.517073 11.812073 3.954073 @ 0.500000 C[0,0,1,1]
11.048073 12.023073 4.229073 @ 0.500000 C[0,0,1,1]
0.534073 1.901073 4.963073 @ 0.500000 C[0,0,1,1]
1.821073 1.477073 4.852073 @ 0.500000 C[0,0,1,1]
3.084073 1.355073 4.493073 @ 0.500000 C[0,0,1,1]
4.065073 1.455073 4.457073 @ 0.500000 C[0,0,1,1]
4.910073 1.065073 4.656073 @ 0.500000 C[0,0,1,1]
1.501073 2.682073 4.722073 @ 0.500000 C[0,0,1,1]
5.192073 2.019073 4.102073 @ 0.500000 C[0,0,1,1]
5.803073 1.486073 4.615073 @ 0.500000 C[0,0,1,1]
6.805073 1.858073 5.032073 @ 0.500000 C[0,0,1,1]
7.304073 2.646073 5.076073 @ 0.500000 C[0,0,1,1]
4.528073 2.446073 4.715073 @ 0.500000 C[0,0,1,1]
5.005073 2.967073 5.535073 @ 0.500000 C[0,0,1,1]
7.159073 3.269073 5.766073 @ 0.500000 C[0,0,1,1]
0.949073 3.684073 4.915073 @ 0.500000 C[0,0,1,1]
2.861073 3.129073 4.047073 @ 0.500000 C[0,0,1,1]
3.938073 3.057073 4.407073 @ 0.500000 C[0,0,1,1]
8.248073 3.061073 5.300073 @ 0.500000 C[0,0,1,1]
3.594073 3.871073 4.855073 @ 0.500000 C[0,0,1,1]
5.415073 4.351073 5.016073 @ 0.500000 C[0,0,1,1]
8.066073 4.023073 5.113073 @ 0.500000 C[0,0,1,1]
9.106073 4.269073 4.691073 @ 0.500000 C[0,0,1,1]
9.722073 4.097073 5.454073 @ 0.500000 C[0,0,1,1]
0.722073 4.852073 5.522073 @ 0.500000 C[0,0,1,1]
1.525073 4.448073 5.168073 @ 0.500000 C[0,0,1,1]
3.246073 4.912073 5.417073 @ 0.500000 C[0,0,1,1]
6.298073 5.240073 4.033073 @ 0.500000 C[0,0,1,1]
6.924073 4.515073 4.186073 @ 0.500000 C[0,0,1,1]
7.915073 4.843073 4.637073 @ 0.500000 C[0,0,1,1]
1.826073 6.425073 5.106073 @ 0.500000 C[0,0,1,1]
3.137073 5.644073 4.811073 @ 0.500000 C[0,0,1,1]
8.738073 5.223073 5.033073 @ 0.500000 C[0,0,1,1]
9.993073 5.611073 4.719073 @ 0.500000 C[0,0,1,1]
10.618073 4.981073 5.081073 @ 0.500000 C[0,0,1,1]
12.258073 5.475073 5.277073 @ 0.500000 C[0,0,1,1]
0.754073 6.377073 5.438073 @ 0.500000 C[0,0,1,1]
5.804073 5.899073 5.068073 @ 0.500000 C[0,0,1,1]
6.625073 6.705073 5.207073 @ 0.500000 C[0,0,1,1]
8.561073 5.996073 5.511073 @ 0.500000 C[0,0,1,1]
9.680073 5.594073 5.602073 @ 0.500000 C[0,0,1,1]
12.156073 7.067073 5.586073 @ 0.500000 C[0,0,1,1]
1.540073 7.424073 5.282073 @ 0.500000 C[0,0,1,1]
2.897073 6.828073 4.624073 @ 0.500000 C[0,0,1,1]
5.188073 6.989073 4.381073 @ 0.500000 C[0,0,1,1]
8.684073 6.905073 5.787073 @ 0.500000 C[0,0,1,1]
10.621073 7.111073 4.891073 @ 0.500000 C[0,0,1,1]
0.418073 8.212073 4.804073 @ 0.500000 C[0,0,1,1]
2.095073 8.104073 4.465073 @ 0.500000 C[0,0,1,1]
2.896073 7.742073 5.003073 @ 0.500000 C[0,0,1,1]
4.355073 8.822073 4.555073 @ 0.500000 C[0,0,1,1]
12.062073 8.287073 4.565073 @ 0.500000 C[0,0,1,1]
2.182073 8.732073 5.359073 @ 0.500000 C[0,0,1,1]
3.170073 8.856073 5.436073 @ 0.500000 C[0,0,1,1]
6.607073 8.394073 4.696073 @ 0.500000 C[0,0,1,1]
9.339073 8.293073 5.936073 @ 0.500000 C[0,0,1,1]
10.199073 8.535073 4.857073 @ 0.500000 C[0,0,1,1]
1.163073 9.476073 4.906073 @ 0.500000 C[0,0,1,1]
5.760073 9.729073 5.577073 @ 0.500000 C[0,0,1,1]
8.085073 9.240073 5.359073 @ 0.500000 C[0,0,1,1]
9.175073 9.349073 4.899073 @ 0.500000 C[0,0,1,1]
